seed_handle,seeds,echo_authors,seed_followers,echoed_components,in_coord_cluster
lynoxanzweni,1,4,5788,2,False
mistakelvin__,1,3,3955,2,False
morganchase__,1,3,14080,2,False
teamsifuna001,1,5,773,2,True
theweeknd6699,1,5,1550,2,False
wmwengah,1,40,60009,2,False
AllienAizz,1,6,9126,1,False
Andriko75,1,4,7700,1,False
ArapTilingi,1,3,63989,1,False
Ass_tridah,1,3,31527,1,False
Bizydan,1,4,10836,1,False
Chamgeifm1,1,5,43862,1,False
EngJohnMachari1,1,3,13173,1,False
EricyWaren,1,3,2530,1,False
GameYetu,1,3,76513,1,False
GenZedRebellion,1,5,3043,1,False
Grace_Mlowe,1,3,11623,1,False
HEBabuOwino,1,3,324342,1,False
HillaryGondi,1,3,101464,1,False
HonJBMuturi,1,833,375635,1,False
IgnatiousMuga,1,6,3308,1,False
KangiMacharia,1,3,485,1,False
Kaseeo_,1,10,50196,1,False
LiverpoolFCKen2,1,3,323,1,False
Maryian96,1,3,32081,1,False
MedhaneMartins,1,26,7891,1,False
Mike_Kutola,1,14,9140,1,False
OleItumbi,1,4,2435945,1,False
Tabogmail2,1,12,2781,1,True
TopCongo,1,3,1150517,1,False
Total_Seth,1,3,35029,1,False
Truepastoralist,1,6,5585,1,False
TukioDigital,1,3,319,1,False
TweetsByKui,1,6,10334,1,False
Uyomian,1,3,10746,1,False
Wangari_Anita_,1,6,13223,1,True
daphyso,1,4,4968,1,True
felix_asoha,1,4,4395,1,False
foundation_jay,1,5,117,1,False
hillary001_,1,18,16319,1,False
iam_elviske,1,3,10600,1,False
idontexistTore,1,337,82636,1,False
itskipronoh,1,3,224584,1,False
justTristy,1,5,8429,1,False
karumipeter0,1,4,2733,1,False
kbcenglish,1,4,28823,1,False
mi6rima,1,6,4913,1,True
minista001,1,19,14276,1,False
mlangila1,1,3,71,1,False
orengo_james,1,3,1676746,1,False
royalmediatz,1,3,320685,1,False
samuelwasilwa5,1,4,1357,1,False
skmusyoka,1,3,1696871,1,False
tonykagoh,1,3,33,1,False
254_icon,1,3,112396,0,False
AdvocateOfBarca,1,3,1469,0,False
AishaAbdirashi8,1,3,1265,0,False
AmbokoJH,1,6,82033,0,False
AreiCool,1,3,1650,0,False
Balyx_,1,4,156370,0,False
CharlotteMugish,1,4,1251,0,False
Cherub_Rock_23,1,3,9985,0,True
ChikombeLevi,1,4,372,0,True
CollinaCleo_nft,1,15,11968,0,False
DanielKisonyo,1,3,2245,0,True
DanielNjoroge2,1,5,60,0,False
DeryaSim,1,10,184,0,False
DirectorKenito,1,44,9523,0,True
Dr_Sadist_ke_,1,3,10999,0,False
Dukeofmumias001,1,4,11852,0,False
EMarubu1,1,10,91,0,False
EdisonMyinga1,1,5,4132,0,False
ErastusNje51778,1,14,956,0,False
EugeneOgolla1,1,7,499,0,True
EustusKoine,1,11,15,0,False
ExNezo,1,3,49203,0,False
FalhadaIman,1,3,439733,0,False
FashionPalace8,1,3,5798,0,False
FranklineTarus,1,3,347,0,False
GE_Albert5,1,3,339,0,False
GoldenWriters_,1,4,18448,0,False
GreenetheDj,1,3,9230,0,False
HezMureithi,1,5,0,0,False
HonWamboka,1,3,8149,0,False
Info_Seru77,1,3,5,0,False
JakaitMoses,1,4,1533,0,False
JaviourOchieng,1,4,18,0,False
Joen5876,1,4,24,0,False
JohnJoh96896351,1,6,74,0,False
JoylineChebet1,1,19,8147,0,False
JuniorAkella,1,3,10638,0,False
